Code,Region,Name,A&E attendances - Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,"A&E attendances less than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,"A&E attendances greater than 4 hours from arrival to admission, transfer or discharge - Type 1 Departments - Major A&E",Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances > 4 hours,Percentage of attendances within 4 hours - Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3),Emergency Admissions - Emergency Admissions via Type 1 A&E,Emergency Admissions via Type 2 A&E,Emergency Admissions via Type 3 and 4 A&E,Total Emergency Admissions via A&E,Other Emergency admissions (i.e not via A&E),Total Emergency Admissions,Number of patients spending >4 hours from decision to admit to admission,Number of patients spending >12 hours from decision to admit to admission
RQX,NHS England London,Homerton Healthcare NHS Foundation Trust,32958,0,0,0,0,0,0,32958,27169,0,0,0,0,0,0,27169,5789,0,0,0,0,0,0,5789,0.8243522058377328,0.8243522058377328,-,-,5645,0,0,5645,1063,6708,773,77
RYJ,NHS England London,Imperial College Healthcare NHS Trust,36126,10891,10730,161,21490,20685,805,68507,21740,10891,10730,161,21490,20685,805,53155,14386,10891,10730,161,21490,20685,805,15352,0.7759061117841972,0.6017826496152355,0.9852171517766963,0.9625407166123778,10368,3,0,10371,3508,13879,1638,0
RJZ,NHS England London,King's College Hospital NHS Foundation Trust,47037,0,0,0,28630,26386,2244,75667,26149,0,0,0,28630,26386,2244,52535,20888,0,0,0,28630,26386,2244,23132,0.6942920956295346,0.5559240597827242,-,0.9216206776108976,10505,0,0,10505,1005,11510,7095,2639
RAX,NHS England London,Kingston And Richmond  NHS Foundation Trust,20948,0,0,0,23716,22804,912,44664,10108,0,0,0,23716,22804,912,32912,10840,0,0,0,23716,22804,912,11752,0.7368798137202222,0.4825281649799504,-,0.9615449485579356,7830,0,710,8540,2071,10611,2220,1444
RJ2,NHS England London,Lewisham And Greenwich NHS Trust,48100,0,0,0,51258,50259,999,99358,23287,0,0,0,51258,50259,999,73546,24813,0,0,0,51258,50259,999,25812,0.7402121620805572,0.4841372141372141,-,0.9805103593585391,11040,0,0,11040,1564,12604,5357,2133
R1K,NHS England London,London North West University Healthcare NHS Trust,39764,0,0,0,45232,44303,929,84996,21061,0,0,0,45232,44303,929,65364,18703,0,0,0,45232,44303,929,19632,0.7690244246788084,0.5296499346142239,-,0.9794614432260347,19224,0,0,19224,780,20004,3504,1558
RP6,NHS England London,Moorfields Eye Hospital NHS Foundation Trust,0,17377,16886,491,0,0,0,17377,0,17377,16886,491,0,0,0,16886,0,17377,16886,491,0,0,0,491,0.971744259653565,-,0.971744259653565,-,0,5,0,5,726,731,0,0
RAT,NHS England London,North East London NHS Foundation Trust,0,0,0,0,5124,4988,136,5124,0,0,0,0,5124,4988,136,4988,0,0,0,0,5124,4988,136,136,0.9734582357533177,-,-,0.9734582357533177,0,0,0,0,0,0,0,0
RAL,NHS England London,Royal Free London NHS Foundation Trust,79019,1438,1413,25,47078,44320,2758,127535,53445,1438,1413,25,47078,44320,2758,99178,25574,1438,1413,25,47078,44320,2758,28357,0.7776531932410711,0.6763563193662284,0.9826147426981919,0.9414163728280726,18681,5,349,19035,2479,21514,8636,6149
RAN,NHS England London,Royal National Orthopaedic Hospital NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,39,39,0,0
RJ7,NHS England London,St George's University Hospitals NHS Foundation Trust,26986,0,0,0,11748,11360,388,38734,18317,0,0,0,11748,11360,388,29677,8669,0,0,0,11748,11360,388,9057,0.766174420405845,0.6787593567034759,-,0.9669731018045625,5620,0,0,5620,1658,7278,2941,1616
RAS,NHS England London,The Hillingdon Hospitals NHS Foundation Trust,15436,0,0,0,19533,19402,131,34969,8480,0,0,0,19533,19402,131,27882,6956,0,0,0,19533,19402,131,7087,0.7973347822356944,0.5493651204975383,-,0.9932934009112784,5250,0,0,5250,204,5454,1601,66
Y03218,NHS England London,The Pinn Unregistered Wic,0,0,0,0,2771,2771,0,2771,0,0,0,0,2771,2771,0,2771,0,0,0,0,2771,2771,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RRV,NHS England London,University College London Hospitals NHS Foundation Trust,40856,0,0,0,0,0,0,40856,30595,0,0,0,0,0,0,30595,10261,0,0,0,0,0,0,10261,0.7488496181711376,0.7488496181711376,-,-,4188,0,0,4188,944,5132,1754,670
RKE,NHS England London,Whittington Health NHS Trust,26734,0,0,0,0,0,0,26734,19276,0,0,0,0,0,0,19276,7458,0,0,0,0,0,0,7458,0.7210294007630732,0.7210294007630732,-,-,4105,0,0,4105,101,4206,1578,882
NL7,NHS England Midlands ,Assura Vertis Urgent Care Centres (Birmingham),0,0,0,0,9640,9640,0,9640,0,0,0,0,9640,9640,0,9640,0,0,0,0,9640,9640,0,0,1,-,-,1,0,0,0,0,0,0,0,0
8J094,NHS England Midlands ,Badger Ltd,0,0,0,0,6534,6534,0,6534,0,0,0,0,6534,6534,0,6534,0,0,0,0,6534,6534,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RQ3,NHS England Midlands ,Birmingham Women's And Children's NHS Foundation Trust,14091,0,0,0,0,0,0,14091,10855,0,0,0,0,0,0,10855,3236,0,0,0,0,0,0,3236,0.7703498687105245,0.7703498687105245,-,-,1898,0,0,1898,595,2493,103,7
RFS,NHS England Midlands ,Chesterfield Royal Hospital NHS Foundation Trust,20594,0,0,0,17067,16891,176,37661,8864,0,0,0,17067,16891,176,25755,11730,0,0,0,17067,16891,176,11906,0.6838639441331882,0.4304166262018064,-,0.9896877014120818,6027,0,45,6072,460,6532,3092,1233
RYG,NHS England Midlands ,Coventry And Warwickshire Partnership NHS Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,51,51,152,203,0,0
RY8,NHS England Midlands ,Derbyshire Community Health Services NHS Foundation Trust,0,0,0,0,25555,24512,1043,25555,0,0,0,0,25555,24512,1043,24512,0,0,0,0,25555,24512,1043,1043,0.9591860692623753,-,-,0.9591860692623753,0,0,0,0,0,0,0,0
NNJ,NHS England Midlands ,Dhu Health Care C.I.C,0,0,0,0,5724,5713,11,5724,0,0,0,0,5724,5713,11,5713,0,0,0,0,5724,5713,11,11,0.9980782669461915,-,-,0.9980782669461915,0,0,0,0,0,0,0,0
NNJ10,NHS England Midlands ,Enderby Leisure Centre,0,0,0,0,493,492,1,493,0,0,0,0,493,492,1,492,0,0,0,0,493,492,1,1,0.9979716024340771,-,-,0.9979716024340771,0,0,0,0,0,0,0,0
Y03007,NHS England Midlands ,Erdington GP Health & Wellbeing Wic,0,0,0,0,5236,5236,0,5236,0,0,0,0,5236,5236,0,5236,0,0,0,0,5236,5236,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RLT,NHS England Midlands ,George Eliot Hospital NHS Trust,21014,0,0,0,4883,4854,29,25897,16334,0,0,0,4883,4854,29,21188,4680,0,0,0,4883,4854,29,4709,0.8181642661312121,0.7772913295897973,-,0.9940610280565226,3539,0,0,3539,0,3539,1813,929
RNQ,NHS England Midlands ,Kettering General Hospital NHS Foundation Trust,32287,0,0,0,26207,26185,22,58494,20123,0,0,0,26207,26185,22,46308,12164,0,0,0,26207,26185,22,12186,0.7916709406092932,0.6232539412147304,-,0.9991605296294883,5649,0,0,5649,1062,6711,3543,1711
C82038,NHS England Midlands ,Latham House Medical Practice,0,0,0,0,996,996,0,996,0,0,0,0,996,996,0,996,0,0,0,0,996,996,0,0,1,-,-,1,0,0,0,0,0,0,0,0
RY5,NHS England Midlands ,Lincolnshire Community Health Services NHS Trust,0,0,0,0,23754,23320,434,23754,0,0,0,0,23754,23320,434,23320,0,0,0,0,23754,23320,434,434,0.9817293929443462,-,-,0.9817293929443462,0,0,0,0,0,0,0,0
NNJ0H,NHS England Midlands ,Llr Ea - The Merlyn Vaz Health & Social Care Centre,0,0,0,0,7939,7926,13,7939,0,0,0,0,7939,7926,13,7926,0,0,0,0,7939,7926,13,13,0.9983625141705504,-,-,0.9983625141705504,0,0,0,0,0,0,0,0
NNJ07,NHS England Midlands ,Loughborough Urgent Care Centre,0,0,0,0,22434,22286,148,22434,0,0,0,0,22434,22286,148,22286,0,0,0,0,22434,22286,148,148,0.9934028706427743,-,-,0.9934028706427743,0,0,0,0,0,0,0,0
NNJ11,NHS England Midlands ,Lutterworth Hospital,0,0,0,0,299,299,0,299,0,0,0,0,299,299,0,299,0,0,0,0,299,299,0,0,1,-,-,1,0,0,0,0,0,0,0,0
NNJ12,NHS England Midlands ,Market Harborough,0,0,0,0,1595,1594,1,1595,0,0,0,0,1595,1594,1,1594,0,0,0,0,1595,1594,1,1,0.9993730407523511,-,-,0.9993730407523511,0,0,0,0,0,0,0,0
C82009,NHS England Midlands ,Market Harborough Med.Ctr,0,0,0,0,743,743,0,743,0,0,0,0,743,743,0,743,0,0,0,0,743,743,0,0,1,-,-,1,0,0,0,0,0,0,0,0
NNJ13,NHS England Midlands ,Melton Mowbray,0,0,0,0,1247,1244,3,1247,0,0,0,0,1247,1244,3,1244,0,0,0,0,1247,1244,3,3,0.9975942261427426,-,-,0.9975942261427426,0,0,0,0,0,0,0,0
RNS,NHS England Midlands ,Northampton General Hospital NHS Trust,31566,1927,1877,50,5994,5895,99,39487,19974,1927,1877,50,5994,5895,99,27746,11592,1927,1877,50,5994,5895,99,11741,0.7026616354749664,0.6327694354685421,0.9740529320186819,0.9834834834834835,7276,0,0,7276,1451,8727,3732,2546
RX1,NHS England Midlands ,Nottingham University Hospitals NHS Trust,37380,5624,5063,561,28241,24391,3850,71245,15566,5624,5063,561,28241,24391,3850,45020,21814,5624,5063,561,28241,24391,3850,26225,0.6319039932626851,0.4164258962011771,0.9002489331436699,0.8636733826705854,9647,0,4501,14148,12753,26901,3718,3293
NNJ14,NHS England Midlands ,Oadby,0,0,0,0,8936,8885,51,8936,0,0,0,0,8936,8885,51,8885,0,0,0,0,8936,8885,51,51,0.9942927484333035,-,-,0.9942927484333035,0,0,0,0,0,0,0,0
